"mean" "SD" "MIN" "MAX"
"Haloperidol_3microM_DarkApoHigh" 12.81 2.05 10.03 16.17
"NDMCHigh_25microM_DarkApoHigh" 13.24 2.78 9.66 20.18
"Haloperidol_1microM_DarkApoHigh" 13.6 2.9 9.64 18.4
"NDMCHigh_50microM_DarkApoHigh" 14.35 2 11.27 18.51
"PCAP814_1microM_DarkApoHigh" 14.85 2.72 11.16 19.68
"Aripiprazole_1microM_DarkApoHigh" 14.93 4.88 8.95 22.22
"PCAP814_3microM_DarkApoHigh" 14.98 4.2 10.86 26.28
"PCAP1_3microM_DarkApoHigh" 15.76 2.89 11.33 19.85
"Clozapine_10microM_DarkApoHigh" 16.49 5.55 9.36 27.08
"CNO_1microM_DarkApoHigh" 16.86 2.48 12.67 20.67
"OSU6162_1microM_DarkApoHigh" 16.95 2.91 13.32 24.31
"NDMCHigh_100microM_DarkApoHigh" 16.95 3.23 11.5 22.8
"PCAP2_10microM_DarkApoHigh" 17.05 3.36 11.54 23.75
"PCAP1_1microM_DarkApoHigh" 17.11 1.88 14.24 20.92
"Aripiprazole_10microM_DarkApoHigh" 17.46 2.04 13.93 20.38
"CNO_3microM_DarkApoHigh" 17.46 2.6 12.57 22.39
"Haloperidol_10microM_DarkApoHigh" 17.47 1.65 13.96 20.06
"PCAP2_1microM_DarkApoHigh" 17.73 4.2 12.1 25.19
"CNO_10microM_DarkApoHigh" 17.74 2.66 12.98 22.03
"Aripiprazole_3microM_DarkApoHigh" 18.32 6.76 10.73 29.57
"PCAP814_10microM_DarkApoHigh" 18.33 4.09 13.36 25.04
"PCAP1_10microM_DarkApoHigh" 18.82 2.56 14.66 24.09
"NDMC_10microM_DarkApoHigh" 19.18 3.5 12.96 25.55
"Clozapine_3microM_DarkApoHigh" 19.71 2.16 16.38 24.34
"PCAP2_3microM_DarkApoHigh" 19.72 1.68 17 22.11
"PCAP931_3microM_DarkApoHigh" 20.07 4.88 13.39 31.76
"OSU6162_10microM_DarkApoHigh" 20.15 4.51 13.15 29.03
"NDMC_1microM_DarkApoHigh" 20.38 2.76 16.22 23.82
"NDMC_3microM_DarkApoHigh" 20.5 4.24 15.6 32.48
"Cariprazine_3microM_DarkApoHigh" 20.76 5.39 12.15 31.69
"PCAP931_10microM_DarkApoHigh" 20.92 3.49 16.38 25.38
"Cariprazine_1microM_DarkApoHigh" 21.05 5.91 12.41 30.07
"OSU6162_3microM_DarkApoHigh" 22.77 6.16 14.24 32.68
"Cariprazine_10microM_DarkApoHigh" 25.14 8.69 15.32 49.33
"PCAP931_1microM_DarkApoHigh" 25.78 5.58 16.04 33.62
"Clozapine_1microM_DarkApoHigh" 28.67 16.84 20.6 83
