"mean" "SD" "MIN" "MAX"
"OSU6162_1microM_Dark" 1.17 0.54 0.3 2.29
"Haloperidol_3microM_Dark" 1.46 0.42 0.84 2.12
"Clozapine_1microM_Dark" 1.51 0.76 0.54 2.88
"NDMC_3microM_Dark" 1.53 0.93 0.41 3.33
"PCAP931_1microM_Dark" 1.67 0.53 1.05 2.72
"CNO_1microM_Dark" 1.68 0.68 0.47 2.98
"Haloperidol_1microM_Dark" 1.69 0.38 1.11 2.28
"NDMC_1microM_Dark" 1.73 0.52 0.96 2.78
"PCAP2_1microM_Dark" 1.73 0.62 1.03 2.8
"CNO_10microM_Dark" 1.89 0.83 0.81 3.32
"Aripiprazole_1microM_Dark" 1.98 0.99 0.95 4.28
"OSU6162_3microM_Dark" 1.99 0.92 0.59 3.82
"PCAP1_1microM_Dark" 2.15 1.12 0.75 4.33
"PCAP1_3microM_Dark" 2.21 0.94 0.78 4.33
"Cariprazine_1microM_Dark" 2.24 0.84 1.43 4.18
"Aripiprazole_10microM_Dark" 2.29 0.94 0.99 3.43
"PCAP931_3microM_Dark" 2.3 0.72 1.28 3.56
"OSU6162_10microM_Dark" 2.46 0.85 0.51 3.46
"PCAP814_1microM_Dark" 2.77 1.48 0.86 6.57
"NDMC_10microM_Dark" 2.91 1.34 0.68 6.16
"Cariprazine_3microM_Dark" 3.11 1.14 1.4 4.92
"Clozapine_3microM_Dark" 3.29 1.12 0.48 4.86
"PCAP814_3microM_Dark" 3.38 1.54 0.46 5.38
"Cariprazine_10microM_Dark" 3.42 1.33 1.78 5.73
"Aripiprazole_3microM_Dark" 3.42 1.93 1.43 8.03
"PCAP1_10microM_Dark" 3.52 1.05 1.88 5.18
"CNO_3microM_Dark" 3.53 2.48 1.31 10.54
"NDMCHigh_50microM_Dark" 3.76 1.15 1.85 5.69
"PCAP931_10microM_Dark" 3.94 1.67 1.76 7.73
"NDMCHigh_25microM_Dark" 3.95 1.03 1.85 5.77
"NDMCHigh_100microM_Dark" 4.2 1.21 2.54 6.74
"Clozapine_10microM_Dark" 4.4 1.39 0.6 6.38
"Haloperidol_10microM_Dark" 4.52 2.12 0.65 8.62
"PCAP2_3microM_Dark" 4.61 1.82 1.12 6.86
"PCAP2_10microM_Dark" 5.1 2.4 0.85 8.84
"PCAP814_10microM_Dark" 5.28 2.45 0.67 8.38
