"mean" "SD" "MIN" "MAX"
"Haloperidol_3microM_DarkApoLow" 11.41 2.84 8.5 16.43
"Cariprazine_10microM_DarkApoLow" 11.89 3.85 6.6 18.86
"Aripiprazole_10microM_DarkApoLow" 13.22 2.93 8.9 18.19
"Clozapine_10microM_DarkApoLow" 13.99 3.92 8.07 20.73
"Cariprazine_3microM_DarkApoLow" 14.29 3.51 8.39 20.1
"Aripiprazole_3microM_DarkApoLow" 14.73 3.2 10.61 20.71
"Haloperidol_1microM_DarkApoLow" 14.81 3.53 10.42 21.53
"OSU6162_3microM_DarkApoLow" 15.02 4.1 9.33 23.67
"PCAP814_3microM_DarkApoLow" 15.06 3.51 10.2 21.21
"OSU6162_10microM_DarkApoLow" 15.8 4.45 8.69 22.41
"PCAP931_3microM_DarkApoLow" 16.02 3.34 12.19 22.85
"PCAP931_10microM_DarkApoLow" 16.03 2.79 13.03 22.46
"Cariprazine_1microM_DarkApoLow" 16.25 2.96 12.92 23.53
"PCAP931_1microM_DarkApoLow" 16.32 4.09 11.14 24.01
"PCAP2_1microM_DarkApoLow" 16.64 2.87 13.43 21.23
"PCAP1_1microM_DarkApoLow" 16.72 3.88 11.16 22.68
"PCAP2_10microM_DarkApoLow" 16.75 2.16 14.04 21.06
"Aripiprazole_1microM_DarkApoLow" 16.96 3.51 13.58 23.64
"Clozapine_3microM_DarkApoLow" 17.12 3.09 13.5 23.17
"Clozapine_1microM_DarkApoLow" 17.35 2.93 13.43 22.85
"PCAP814_1microM_DarkApoLow" 17.41 4.5 12.58 25.43
"NDMC_3microM_DarkApoLow" 17.7 3.73 13.4 24.75
"PCAP1_10microM_DarkApoLow" 17.9 3.5 12.92 23.31
"OSU6162_1microM_DarkApoLow" 18.03 3.19 12.11 22.89
"CNO_10microM_DarkApoLow" 18.28 3.83 12.41 25.36
"NDMC_10microM_DarkApoLow" 18.48 3.28 15.28 24.46
"PCAP2_3microM_DarkApoLow" 18.72 3.32 14.97 24.97
"NDMCHigh_100microM_DarkApoLow" 19.07 3.89 14.03 27.06
"CNO_1microM_DarkApoLow" 19.32 3.77 14.82 26.85
"NDMCHigh_50microM_DarkApoLow" 20.07 3.64 14.59 26.61
"NDMC_1microM_DarkApoLow" 20.15 3.26 15.73 26.41
"CNO_3microM_DarkApoLow" 20.17 4.68 15.13 30.99
"NDMCHigh_25microM_DarkApoLow" 20.27 3.91 14.54 26.3
"PCAP1_3microM_DarkApoLow" 21.28 14.11 13.63 66.99
"Haloperidol_10microM_DarkApoLow" 22.58 7.74 15.88 45.68
"PCAP814_10microM_DarkApoLow" 26.76 10.3 12.82 47.11
