"mean" "SD" "MIN" "MAX"
"PCAP2_1microM_Dark" 7.71 1.78 3.83 10.54
"Haloperidol_3microM_Dark" 8.37 1.99 5.86 12.16
"Haloperidol_1microM_Dark" 8.49 2.27 6.3 13.25
"Clozapine_1microM_Dark" 9 2.46 6.15 13.46
"PCAP931_1microM_Dark" 9.04 1.19 6.88 10.79
"OSU6162_3microM_Dark" 9.67 1.11 8.35 12.72
"NDMC_1microM_Dark" 9.72 1.67 7.41 13.1
"CNO_10microM_Dark" 9.93 3.37 6.48 17.56
"PCAP814_3microM_Dark" 10.35 1.31 8.12 11.85
"NDMC_3microM_Dark" 10.45 2.1 7.35 14.03
"Clozapine_3microM_Dark" 10.63 2.77 6.16 16.34
"PCAP814_1microM_Dark" 10.82 2.38 7.77 16.81
"OSU6162_1microM_Dark" 10.84 1.83 8.61 15.54
"Aripiprazole_1microM_Dark" 10.95 4.09 6.01 21.53
"CNO_3microM_Dark" 11.18 3.16 7.5 18.74
"Cariprazine_3microM_Dark" 11.3 1.82 6.69 14.16
"PCAP931_10microM_Dark" 11.36 1.62 9.05 14.87
"Cariprazine_10microM_Dark" 11.37 2.05 6.27 14.48
"CNO_1microM_Dark" 11.6 4.05 7.4 21.63
"PCAP931_3microM_Dark" 11.6 1.93 9.47 15.3
"Aripiprazole_3microM_Dark" 11.71 3.57 7.68 19.9
"Aripiprazole_10microM_Dark" 11.99 4.56 6.93 25.15
"NDMC_10microM_Dark" 12.1 1.88 9.61 15.31
"PCAP1_10microM_Dark" 12.3 3.44 7.54 19.27
"PCAP2_3microM_Dark" 12.54 2.11 9.53 15.42
"PCAP1_3microM_Dark" 12.54 3.62 8.35 18.1
"PCAP1_1microM_Dark" 12.62 3.67 8.32 20.12
"Cariprazine_1microM_Dark" 12.91 1.73 9.8 15.88
"PCAP2_10microM_Dark" 13.08 3.24 8.78 20.21
"OSU6162_10microM_Dark" 13.12 1.4 11.21 16.02
"Clozapine_10microM_Dark" 13.29 2.74 10.73 19.44
"NDMCHigh_100microM_Dark" 13.7 1.82 9.95 17.22
"NDMCHigh_50microM_Dark" 13.71 1.5 11.99 16.36
"NDMCHigh_25microM_Dark" 13.74 1.16 11.77 15.62
"Haloperidol_10microM_Dark" 14.14 4.32 9.61 22.41
"PCAP814_10microM_Dark" 16.86 6.79 10.8 35.49
