"mean" "SD" "MIN" "MAX"
"PCAP2_1microM_Dark" 7.42 1.68 3.63 10.14
"Haloperidol_3microM_Dark" 8.17 1.82 5.95 11.64
"Haloperidol_1microM_Dark" 8.22 2.13 6.08 12.73
"PCAP931_1microM_Dark" 8.79 1.13 6.69 10.27
"Clozapine_1microM_Dark" 8.81 2.45 5.98 13.13
"NDMC_1microM_Dark" 9.27 1.72 6.92 12.75
"OSU6162_3microM_Dark" 9.32 1.12 7.98 12.32
"CNO_10microM_Dark" 9.75 3.29 6.38 17.22
"NDMC_3microM_Dark" 10.08 2.08 7.16 13.67
"Clozapine_3microM_Dark" 10.47 2.71 6.11 16.15
"OSU6162_1microM_Dark" 10.58 1.85 8.39 15.19
"PCAP814_3microM_Dark" 10.59 1.09 8.28 12.14
"PCAP814_1microM_Dark" 10.67 2.34 7.47 16.34
"Aripiprazole_1microM_Dark" 10.76 3.92 6.2 21.26
"Cariprazine_3microM_Dark" 11.06 1.78 6.6 13.83
"CNO_3microM_Dark" 11.13 3.07 7.77 18.42
"PCAP931_10microM_Dark" 11.14 1.74 8.96 14.94
"Cariprazine_10microM_Dark" 11.28 1.98 6.38 14.05
"PCAP931_3microM_Dark" 11.32 1.82 9.31 14.75
"Aripiprazole_3microM_Dark" 11.51 3.32 7.68 19.23
"CNO_1microM_Dark" 11.51 3.99 7.38 21.37
"Aripiprazole_10microM_Dark" 11.66 4.07 7.34 23.11
"NDMC_10microM_Dark" 11.85 1.99 9.31 15.31
"PCAP1_10microM_Dark" 12.09 3.39 7.45 18.94
"PCAP1_3microM_Dark" 12.29 3.62 8.04 17.83
"PCAP2_3microM_Dark" 12.38 2.11 9.35 15.45
"PCAP1_1microM_Dark" 12.44 3.66 7.98 19.98
"Cariprazine_1microM_Dark" 12.82 1.65 9.86 15.37
"OSU6162_10microM_Dark" 12.96 1.38 10.92 15.75
"PCAP2_10microM_Dark" 12.97 3.28 8.14 19.97
"Clozapine_10microM_Dark" 12.97 2.72 10.5 19.02
"NDMCHigh_25microM_Dark" 13.89 1.18 11.45 15.68
"NDMCHigh_50microM_Dark" 13.98 1.53 12.01 16.81
"NDMCHigh_100microM_Dark" 14 1.88 9.62 17.28
"Haloperidol_10microM_Dark" 14.15 4.36 9.6 22.68
"PCAP814_10microM_Dark" 16.5 6.64 10.29 34.33
