"mean" "SD" "MIN" "MAX"
"PCAP2_1microM_Dark" 8.03 1.53 3.91 9.69
"Aripiprazole_1microM_Dark" 8.22 1.43 5.63 10.31
"Haloperidol_3microM_Dark" 8.25 1.79 5.32 11.65
"OSU6162_3microM_Dark" 8.38 1.06 7.12 10.95
"PCAP931_1microM_Dark" 8.56 0.99 7.12 10.38
"Clozapine_1microM_Dark" 8.6 1.84 5.73 12
"Haloperidol_1microM_Dark" 8.68 1.81 6.65 12.15
"CNO_10microM_Dark" 8.91 3.06 5.84 15.11
"NDMC_1microM_Dark" 9.41 1.42 6.59 11.6
"OSU6162_1microM_Dark" 9.61 1.33 7.78 12.77
"Aripiprazole_3microM_Dark" 9.61 1.99 5.63 12.12
"Cariprazine_10microM_Dark" 9.65 2.15 6.61 14.74
"NDMC_3microM_Dark" 10.24 1.57 7.24 12.97
"CNO_3microM_Dark" 10.27 3.02 7.1 16.09
"Aripiprazole_10microM_Dark" 10.29 1.69 6.78 12.89
"Cariprazine_3microM_Dark" 10.44 1.87 5.82 13.9
"CNO_1microM_Dark" 10.56 3.58 7.33 18.94
"PCAP931_3microM_Dark" 10.66 1.04 9.38 13.26
"PCAP931_10microM_Dark" 10.86 1.65 7.97 13.63
"Clozapine_3microM_Dark" 10.87 2.06 7.27 15.87
"PCAP814_1microM_Dark" 11.6 1.7 8.98 15.14
"NDMC_10microM_Dark" 11.71 1.69 9.42 15.27
"PCAP814_3microM_Dark" 11.89 1.21 9.95 13.62
"Cariprazine_1microM_Dark" 12 1.71 8.93 15.41
"PCAP1_1microM_Dark" 12.1 3.41 7.66 19.3
"PCAP1_3microM_Dark" 12.16 3.14 8.22 16.87
"Haloperidol_10microM_Dark" 12.2 2.09 10.39 16.3
"OSU6162_10microM_Dark" 12.43 1.18 10.96 15.45
"PCAP2_10microM_Dark" 12.61 1.97 8.93 15.54
"PCAP1_10microM_Dark" 12.71 2.66 8.9 18.05
"PCAP2_3microM_Dark" 12.83 2.09 10.31 15.93
"Clozapine_10microM_Dark" 13.33 2.53 10.4 18.2
"NDMCHigh_25microM_Dark" 13.57 1.47 9.93 15.59
"NDMCHigh_100microM_Dark" 13.73 1.96 9.14 17.54
"NDMCHigh_50microM_Dark" 13.74 1.89 9.32 16.57
"PCAP814_10microM_Dark" 14.86 2.44 10.39 18.63
