"mean" "SD" "MIN" "MAX"
"NDMCHigh_25microM_DarkApoHigh" 4.49 0.99 2.49 5.94
"Haloperidol_3microM_DarkApoHigh" 5.04 1.29 3.11 7.75
"PCAP814_3microM_DarkApoHigh" 5.06 1.68 2.53 7.64
"NDMCHigh_50microM_DarkApoHigh" 5.12 0.71 3.56 6.26
"Aripiprazole_1microM_DarkApoHigh" 5.25 2.33 2.12 9.83
"Clozapine_10microM_DarkApoHigh" 5.6 1.49 3.7 8.1
"PCAP814_1microM_DarkApoHigh" 5.89 1.1 3.55 8.03
"Haloperidol_1microM_DarkApoHigh" 6.01 1.95 3.6 11.06
"NDMCHigh_100microM_DarkApoHigh" 6.41 0.6 5.34 7.35
"Aripiprazole_10microM_DarkApoHigh" 7.13 0.84 6.3 9.43
"OSU6162_1microM_DarkApoHigh" 7.2 2.01 4.1 12.38
"PCAP1_3microM_DarkApoHigh" 7.43 1.87 4.87 10.19
"CNO_3microM_DarkApoHigh" 7.53 2.35 4.65 12.71
"Aripiprazole_3microM_DarkApoHigh" 7.54 2.87 3.23 13.79
"CNO_1microM_DarkApoHigh" 7.76 2.38 3.19 12.29
"PCAP1_1microM_DarkApoHigh" 8.28 1.69 5.61 10.94
"PCAP2_10microM_DarkApoHigh" 8.4 1.84 5.14 10.68
"PCAP814_10microM_DarkApoHigh" 8.59 2.63 5.58 15.49
"Haloperidol_10microM_DarkApoHigh" 8.7 1.26 7.08 11.66
"PCAP1_10microM_DarkApoHigh" 8.84 1.58 6.48 10.41
"PCAP2_3microM_DarkApoHigh" 8.98 0.85 7.19 10.66
"NDMC_10microM_DarkApoHigh" 8.98 3.17 3.63 13.69
"Clozapine_3microM_DarkApoHigh" 9.1 1.07 7.05 10.51
"CNO_10microM_DarkApoHigh" 9.11 2.92 6.16 15.64
"Cariprazine_3microM_DarkApoHigh" 9.23 4.39 5.17 19.76
"PCAP2_1microM_DarkApoHigh" 9.69 1.95 7.22 13.69
"OSU6162_10microM_DarkApoHigh" 9.73 3.88 4.25 17.06
"Cariprazine_1microM_DarkApoHigh" 10.24 6.72 5.48 29.87
"OSU6162_3microM_DarkApoHigh" 10.48 3.6 4.47 17.36
"PCAP931_3microM_DarkApoHigh" 10.57 2.28 6.56 14.88
"NDMC_1microM_DarkApoHigh" 10.73 4.17 6.8 21.9
"PCAP931_10microM_DarkApoHigh" 10.84 2.44 5.83 15.06
"NDMC_3microM_DarkApoHigh" 11.56 2.45 9.07 17.75
"Clozapine_1microM_DarkApoHigh" 12.44 2.54 8.78 16.55
"PCAP931_1microM_DarkApoHigh" 13.42 3.93 7.52 18.43
"Cariprazine_10microM_DarkApoHigh" 15.45 12.78 5.34 46.5
