"mean" "SD" "MIN" "MAX"
"PCAP814_10microM_DarkPTZ" 16.35 5.18 10.62 26.09
"PCAP931_3microM_DarkPTZ" 17.42 2.36 13.1 20.14
"PCAP931_1microM_DarkPTZ" 18.25 2.8 12.89 21.56
"Clozapine_10microM_DarkPTZ" 18.36 1.84 15.03 21.42
"Aripiprazole_3microM_DarkPTZ" 18.39 2.11 13.55 21.75
"Haloperidol_3microM_DarkPTZ" 18.7 1.81 14.3 21.38
"Aripiprazole_10microM_DarkPTZ" 18.85 2.88 13.57 21.98
"NDMCHigh_50microM_DarkPTZ" 18.9 2.35 13.21 23.08
"NDMCHigh_100microM_DarkPTZ" 18.92 5.42 13.7 33.35
"PCAP814_3microM_DarkPTZ" 19.44 3.22 13.8 23.69
"Cariprazine_1microM_DarkPTZ" 19.48 2.03 16.12 22.54
"PCAP931_10microM_DarkPTZ" 19.86 2.2 15.38 23.02
"Haloperidol_1microM_DarkPTZ" 19.92 2.71 12.79 24.51
"Cariprazine_3microM_DarkPTZ" 20.43 3.82 9.86 24.46
"PCAP1_10microM_DarkPTZ" 20.76 3.95 12.67 25.61
"Clozapine_3microM_DarkPTZ" 20.89 3.27 13.02 25.54
"Cariprazine_10microM_DarkPTZ" 21.06 4.35 11.89 25.38
"Aripiprazole_1microM_DarkPTZ" 21.16 2.77 16.25 25.8
"PCAP814_1microM_DarkPTZ" 21.17 1.84 16.99 23.72
"Clozapine_1microM_DarkPTZ" 22.34 4.91 9.98 26.89
"NDMCHigh_25microM_DarkPTZ" 22.87 2.88 18.25 27.89
"PCAP2_10microM_DarkPTZ" 23.45 3.54 18.9 30.3
"OSU6162_1microM_DarkPTZ" 23.91 3.47 14.72 27.84
"PCAP1_1microM_DarkPTZ" 23.96 4.21 14.08 29.06
"PCAP1_3microM_DarkPTZ" 24.89 3.07 15.65 28.21
"Haloperidol_10microM_DarkPTZ" 25.24 5.31 14.84 39.53
"OSU6162_10microM_DarkPTZ" 25.3 3.93 13.96 28.1
"CNO_10microM_DarkPTZ" 25.84 5.09 12.98 34.01
"PCAP2_3microM_DarkPTZ" 26.7 9.76 13.8 56.36
"OSU6162_3microM_DarkPTZ" 27.1 3.8 17.52 32.47
"PCAP2_1microM_DarkPTZ" 27.56 3.13 18.7 31.51
"CNO_3microM_DarkPTZ" 28.18 4.57 16.42 33.58
"NDMC_3microM_DarkPTZ" 30.49 4.47 17.39 36.94
"CNO_1microM_DarkPTZ" 31.88 4.48 18.8 37.1
"NDMC_10microM_DarkPTZ" 31.9 6.82 16.98 43.8
"NDMC_1microM_DarkPTZ" 32.02 5.69 14.27 36.36
