"mean" "SD" "MIN" "MAX"
"Haloperidol_3microM_DarkApoHigh" 12.86 1.85 10.65 15.68
"NDMCHigh_25microM_DarkApoHigh" 13.44 2.51 10 19.69
"Haloperidol_1microM_DarkApoHigh" 13.64 2.74 9.66 17.5
"NDMCHigh_50microM_DarkApoHigh" 14.59 1.79 11.47 18
"PCAP814_1microM_DarkApoHigh" 14.77 2.72 10.51 19.77
"Aripiprazole_1microM_DarkApoHigh" 14.87 4.63 8.97 22.3
"PCAP814_3microM_DarkApoHigh" 15.06 4.22 10.82 26.86
"PCAP1_3microM_DarkApoHigh" 15.46 2.96 11 20.24
"Clozapine_10microM_DarkApoHigh" 16.28 5.32 9.53 26.91
"PCAP2_10microM_DarkApoHigh" 16.61 3.34 10.99 23.13
"PCAP1_1microM_DarkApoHigh" 16.74 1.78 13.81 20.17
"OSU6162_1microM_DarkApoHigh" 16.89 2.95 13.15 24.45
"PCAP2_1microM_DarkApoHigh" 17.07 4.34 11.41 24.9
"CNO_1microM_DarkApoHigh" 17.15 2.36 13.1 21.14
"NDMCHigh_100microM_DarkApoHigh" 17.15 3.13 11.64 22.82
"Aripiprazole_10microM_DarkApoHigh" 17.42 1.96 13.85 20.24
"CNO_3microM_DarkApoHigh" 17.43 2.51 12.69 22.35
"Haloperidol_10microM_DarkApoHigh" 17.52 1.75 13.87 20.35
"CNO_10microM_DarkApoHigh" 17.94 2.64 13.17 22.63
"Aripiprazole_3microM_DarkApoHigh" 18.22 6.28 11.12 28.03
"PCAP814_10microM_DarkApoHigh" 18.48 4.1 13.31 25.26
"PCAP1_10microM_DarkApoHigh" 18.55 2.54 14.46 23.95
"PCAP2_3microM_DarkApoHigh" 19.17 1.66 16.5 21.34
"NDMC_10microM_DarkApoHigh" 19.23 3.48 12.87 25.45
"Clozapine_3microM_DarkApoHigh" 19.46 2.17 16.23 23.96
"PCAP931_3microM_DarkApoHigh" 19.67 4.77 13.44 30.86
"OSU6162_10microM_DarkApoHigh" 20.16 4.57 13.17 29.38
"NDMC_1microM_DarkApoHigh" 20.36 2.73 16.09 23.21
"PCAP931_10microM_DarkApoHigh" 20.46 3.37 15.68 24.53
"Cariprazine_3microM_DarkApoHigh" 20.75 5.57 12.14 32.66
"NDMC_3microM_DarkApoHigh" 20.78 4.83 15.68 34.9
"Cariprazine_1microM_DarkApoHigh" 20.95 5.77 12.33 29.8
"OSU6162_3microM_DarkApoHigh" 22.62 5.92 14.48 31.78
"PCAP931_1microM_DarkApoHigh" 25.12 5.7 15.36 33.02
"Cariprazine_10microM_DarkApoHigh" 25.55 9.64 15.4 53.04
"Clozapine_1microM_DarkApoHigh" 28.69 18.3 20.24 87.99
