"mean" "SD" "MIN" "MAX"
"Aripiprazole_3microM_DarkPTZ" 7.69 1.69 4.44 10.04
"Cariprazine_1microM_DarkPTZ" 8.22 1.5 5.61 10.61
"PCAP931_3microM_DarkPTZ" 8.35 2.51 3.81 12.85
"NDMCHigh_50microM_DarkPTZ" 8.38 2.19 4.2 11.35
"Clozapine_10microM_DarkPTZ" 8.42 1.54 5.51 11.78
"Cariprazine_3microM_DarkPTZ" 8.58 1.59 5.94 10.85
"PCAP931_1microM_DarkPTZ" 8.59 2.67 3.42 11.9
"PCAP814_3microM_DarkPTZ" 8.82 1.65 6.09 11.49
"Clozapine_3microM_DarkPTZ" 8.9 2.6 2.19 13.07
"PCAP1_10microM_DarkPTZ" 8.96 2.18 3.87 11.24
"PCAP814_1microM_DarkPTZ" 9.18 1.3 5.78 10.36
"Aripiprazole_10microM_DarkPTZ" 9.22 2.2 5.96 13.86
"Haloperidol_1microM_DarkPTZ" 9.22 1.95 3.65 11.6
"PCAP931_10microM_DarkPTZ" 9.29 2.67 4.43 13.66
"NDMCHigh_100microM_DarkPTZ" 9.31 3.2 4.09 15.12
"Haloperidol_3microM_DarkPTZ" 9.51 1.33 6.14 11.4
"Aripiprazole_1microM_DarkPTZ" 9.75 1.78 6.89 13.58
"Cariprazine_10microM_DarkPTZ" 9.88 2.14 5.61 12.71
"NDMCHigh_25microM_DarkPTZ" 10.16 1.66 7.54 12.96
"Clozapine_1microM_DarkPTZ" 10.18 2.92 2.41 14.4
"PCAP1_1microM_DarkPTZ" 11.27 3.31 3.59 16.61
"PCAP814_10microM_DarkPTZ" 11.42 8.95 4.97 38.22
"PCAP1_3microM_DarkPTZ" 11.49 2.49 4.75 14.53
"PCAP2_10microM_DarkPTZ" 11.59 3.26 6.91 17.44
"PCAP2_3microM_DarkPTZ" 12.03 3.2 4.55 16.92
"OSU6162_1microM_DarkPTZ" 12.41 2.76 5.15 15.34
"Haloperidol_10microM_DarkPTZ" 12.54 1.36 9.63 14.18
"OSU6162_10microM_DarkPTZ" 12.63 2.88 4.76 16.16
"CNO_10microM_DarkPTZ" 13.18 3.42 6.04 18.31
"OSU6162_3microM_DarkPTZ" 13.35 2.34 6.89 16.14
"CNO_1microM_DarkPTZ" 14.69 3.1 6.73 19.28
"CNO_3microM_DarkPTZ" 15.19 3.48 6.84 21.77
"NDMC_3microM_DarkPTZ" 15.42 2.84 7.5 18.45
"NDMC_1microM_DarkPTZ" 15.88 3.32 6.69 21.82
"PCAP2_1microM_DarkPTZ" 16.44 9.82 7.93 47.15
"NDMC_10microM_DarkPTZ" 17.19 4.08 6.92 23.25
