"mean" "SD" "MIN" "MAX"
"PCAP814_10microM_DarkPTZ" 16.27 4.86 10.58 25.48
"PCAP931_3microM_DarkPTZ" 16.83 2.3 12.58 19.47
"Clozapine_10microM_DarkPTZ" 17.69 1.87 14.44 20.56
"PCAP931_1microM_DarkPTZ" 17.92 2.82 12.61 21.37
"Aripiprazole_3microM_DarkPTZ" 18.39 2.3 12.9 21.74
"Aripiprazole_10microM_DarkPTZ" 18.48 2.84 13.48 21.74
"Haloperidol_3microM_DarkPTZ" 18.51 1.91 13.8 21.38
"NDMCHigh_100microM_DarkPTZ" 18.55 5.43 13.23 32.84
"NDMCHigh_50microM_DarkPTZ" 18.64 2.46 12.94 23.36
"PCAP814_3microM_DarkPTZ" 19.2 3.17 13.52 23.36
"Cariprazine_1microM_DarkPTZ" 19.21 1.99 15.88 22.26
"PCAP931_10microM_DarkPTZ" 19.69 2.28 14.91 22.87
"Haloperidol_1microM_DarkPTZ" 19.73 2.68 12.47 24.06
"Cariprazine_3microM_DarkPTZ" 20 3.82 9.5 24.1
"Cariprazine_10microM_DarkPTZ" 20.55 4.37 11.55 24.91
"PCAP814_1microM_DarkPTZ" 20.6 1.86 16.52 23.15
"PCAP1_10microM_DarkPTZ" 20.6 4.13 12.08 25.55
"Clozapine_3microM_DarkPTZ" 20.64 3.29 12.58 24.82
"Aripiprazole_1microM_DarkPTZ" 21.24 2.74 15.94 25.56
"Clozapine_1microM_DarkPTZ" 21.81 4.87 9.58 26.5
"NDMCHigh_25microM_DarkPTZ" 22.51 2.95 17.86 27.83
"PCAP2_10microM_DarkPTZ" 23.16 3.61 18.73 30.25
"PCAP1_1microM_DarkPTZ" 23.58 4.24 13.69 28.92
"OSU6162_1microM_DarkPTZ" 23.64 3.51 14.39 27.66
"PCAP1_3microM_DarkPTZ" 24.61 3.12 15.22 28.12
"OSU6162_10microM_DarkPTZ" 25.06 3.99 13.62 28.22
"Haloperidol_10microM_DarkPTZ" 25.1 5.44 14.22 39.6
"CNO_10microM_DarkPTZ" 25.51 5.03 12.74 33.44
"PCAP2_3microM_DarkPTZ" 26.46 9.92 13.19 56.57
"OSU6162_3microM_DarkPTZ" 26.85 3.84 17.35 32.43
"PCAP2_1microM_DarkPTZ" 27.17 3.09 18.54 31.41
"CNO_3microM_DarkPTZ" 27.85 4.61 16.19 33.34
"NDMC_3microM_DarkPTZ" 30.08 4.39 17.23 36.46
"CNO_1microM_DarkPTZ" 31.32 4.38 18.59 36.49
"NDMC_10microM_DarkPTZ" 31.56 6.9 16.67 43.38
"NDMC_1microM_DarkPTZ" 31.65 5.66 14.05 36.02
