"mean" "SD" "MIN" "MAX"
"Haloperidol_1microM_Dark" 1.31 0.31 0.81 1.89
"Haloperidol_3microM_Dark" 1.34 0.57 0.46 2.12
"Clozapine_1microM_Dark" 1.57 0.77 0.6 2.87
"NDMC_3microM_Dark" 1.58 1.02 0.28 3.54
"PCAP931_1microM_Dark" 1.62 0.54 0.74 2.54
"OSU6162_1microM_Dark" 1.64 1.43 0.36 5.97
"PCAP2_1microM_Dark" 1.74 0.59 0.8 2.61
"NDMC_1microM_Dark" 1.77 0.61 0.9 2.9
"CNO_1microM_Dark" 1.81 0.8 0.33 3.29
"CNO_10microM_Dark" 1.85 0.85 0.74 3.19
"PCAP1_1microM_Dark" 1.98 0.88 0.87 3.5
"PCAP1_3microM_Dark" 2.07 0.77 1.02 3.5
"Cariprazine_1microM_Dark" 2.23 0.78 1.54 3.76
"Aripiprazole_10microM_Dark" 2.26 0.97 1.13 4.21
"OSU6162_10microM_Dark" 2.27 0.95 0.47 3.75
"PCAP931_3microM_Dark" 2.27 0.75 1.34 3.58
"OSU6162_3microM_Dark" 2.33 1.08 0.54 4.21
"Aripiprazole_1microM_Dark" 2.36 1.05 1.28 4.35
"PCAP814_1microM_Dark" 2.94 1.73 0.9 6.91
"NDMC_10microM_Dark" 3 1.23 1.18 5.51
"CNO_3microM_Dark" 3.02 1.17 1.58 5.75
"Cariprazine_3microM_Dark" 3.1 1.41 1.3 5.71
"Aripiprazole_3microM_Dark" 3.2 1.23 1.87 6.37
"Cariprazine_10microM_Dark" 3.2 1.33 1.97 6.22
"PCAP814_3microM_Dark" 3.41 1.64 0.33 6
"Clozapine_3microM_Dark" 3.53 1.16 0.48 5.04
"PCAP931_10microM_Dark" 3.57 0.83 1.96 5.18
"PCAP1_10microM_Dark" 3.69 1.13 2.19 5.43
"Haloperidol_10microM_Dark" 4.01 1.95 0.44 7.82
"NDMCHigh_25microM_Dark" 4.05 1.05 2.01 5.89
"NDMCHigh_50microM_Dark" 4.06 1.36 2.04 6.42
"NDMCHigh_100microM_Dark" 4.19 1.27 2.47 6.64
"Clozapine_10microM_Dark" 4.74 1.52 0.67 6.85
"PCAP814_10microM_Dark" 4.8 2 0.92 6.91
"PCAP2_3microM_Dark" 4.8 2.12 0.9 7.63
"PCAP2_10microM_Dark" 5.06 2.49 0.71 8.62
