"mean" "SD" "MIN" "MAX"
"Haloperidol_3microM_DarkApoLow" 1.87 0.83 0.79 3.47
"Cariprazine_10microM_DarkApoLow" 2.56 1.16 0.95 5.43
"PCAP931_3microM_DarkApoLow" 2.86 1.17 1.3 5.43
"PCAP931_1microM_DarkApoLow" 2.9 1.51 0.78 5.88
"Haloperidol_1microM_DarkApoLow" 2.92 1.12 0.69 4.34
"PCAP814_3microM_DarkApoLow" 3.28 1.14 1.35 4.42
"Aripiprazole_10microM_DarkApoLow" 3.33 1.5 1.15 5.55
"Clozapine_10microM_DarkApoLow" 3.65 1.11 1.42 5.22
"PCAP2_1microM_DarkApoLow" 3.83 1.45 2.06 6.09
"Aripiprazole_3microM_DarkApoLow" 3.94 1.18 1.93 6.21
"Clozapine_1microM_DarkApoLow" 3.97 2.17 1.2 9.17
"OSU6162_10microM_DarkApoLow" 4.1 1.75 1.83 7.67
"PCAP814_1microM_DarkApoLow" 4.16 1.81 1.7 7.21
"Clozapine_3microM_DarkApoLow" 4.17 1.35 2.11 7.48
"NDMC_3microM_DarkApoLow" 4.37 2.02 1.8 8.25
"NDMC_10microM_DarkApoLow" 4.56 2.43 1.13 9.02
"OSU6162_3microM_DarkApoLow" 4.74 3.6 1.68 15.79
"PCAP931_10microM_DarkApoLow" 5.04 4.76 1.56 20.29
"Cariprazine_3microM_DarkApoLow" 5.11 6.26 1.48 25.66
"PCAP1_3microM_DarkApoLow" 5.11 3.18 2.22 14.9
"OSU6162_1microM_DarkApoLow" 5.31 2.44 2.72 10.24
"Cariprazine_1microM_DarkApoLow" 5.38 1.02 3.91 7.53
"PCAP2_3microM_DarkApoLow" 5.48 0.99 3.57 7.1
"PCAP2_10microM_DarkApoLow" 5.65 1.32 3.52 7.22
"CNO_10microM_DarkApoLow" 5.93 1.99 2.64 9.59
"NDMCHigh_25microM_DarkApoLow" 6.22 1.39 3.33 8.08
"Aripiprazole_1microM_DarkApoLow" 6.3 1.25 4.15 8.5
"NDMC_1microM_DarkApoLow" 6.46 2.14 3.44 11.39
"NDMCHigh_100microM_DarkApoLow" 6.58 1.28 4.14 8.65
"NDMCHigh_50microM_DarkApoLow" 6.82 1.06 4.04 8.46
"PCAP1_10microM_DarkApoLow" 6.91 4.19 4.06 20.52
"CNO_1microM_DarkApoLow" 7.07 2.21 4.32 11.74
"CNO_3microM_DarkApoLow" 9.19 3.47 5.33 18.6
"PCAP1_1microM_DarkApoLow" 9.29 16.42 2.81 63.81
"Haloperidol_10microM_DarkApoLow" 10.72 5.59 4.84 22.47
"PCAP814_10microM_DarkApoLow" 10.8 5.22 5.68 26.2
