"mean" "SD" "MIN" "MAX"
"OSU6162_3microM_Dark" 5.99 1.3 3.95 9.19
"Haloperidol_3microM_Dark" 6.28 1.86 3.38 9.94
"Aripiprazole_1microM_Dark" 6.53 1.26 3.94 8.85
"PCAP2_1microM_Dark" 6.62 1.26 2.77 7.79
"Haloperidol_1microM_Dark" 6.66 1.73 4.78 10.36
"Aripiprazole_3microM_Dark" 6.74 1.38 4.27 8.98
"PCAP931_1microM_Dark" 6.75 1.04 5.31 8.49
"Clozapine_1microM_Dark" 6.87 1.77 3.92 9.7
"OSU6162_1microM_Dark" 6.96 1.68 5.25 11.29
"CNO_10microM_Dark" 6.97 2.88 3.85 13.65
"Cariprazine_10microM_Dark" 7.06 1.32 5.49 10.34
"Cariprazine_3microM_Dark" 7.3 1.25 4.66 9.24
"CNO_3microM_Dark" 7.38 3.08 4.42 14.43
"NDMC_1microM_Dark" 7.86 1.31 5.76 10.59
"Aripiprazole_10microM_Dark" 7.92 1.55 5.48 11.07
"PCAP931_3microM_Dark" 8.34 1.31 5.79 10.65
"CNO_1microM_Dark" 8.39 3.7 4.77 17.01
"NDMC_3microM_Dark" 8.47 1.79 5.42 12.17
"Cariprazine_1microM_Dark" 8.65 1.59 5.96 11.23
"PCAP931_10microM_Dark" 8.91 1.29 6.85 11.57
"OSU6162_10microM_Dark" 8.98 1.32 7.46 12.68
"PCAP814_1microM_Dark" 9.33 1.62 6.89 12.11
"Clozapine_3microM_Dark" 9.45 2.02 6.57 14.32
"PCAP1_1microM_Dark" 9.65 3.56 5.09 16.72
"NDMC_10microM_Dark" 9.84 1.62 7.56 12.34
"PCAP1_3microM_Dark" 10.01 2.8 6.21 14.57
"Haloperidol_10microM_Dark" 10.05 2.26 7.72 13.93
"PCAP2_3microM_Dark" 10.2 1.69 7.65 12.49
"PCAP2_10microM_Dark" 10.26 1.99 6.07 13.12
"NDMCHigh_100microM_Dark" 10.28 1.63 7.77 14.11
"NDMCHigh_50microM_Dark" 10.49 1.38 8.61 12.62
"NDMCHigh_25microM_Dark" 10.58 1.29 8.12 12.84
"PCAP814_3microM_Dark" 10.59 1.5 8.14 12.64
"PCAP1_10microM_Dark" 10.73 2.68 7 16.2
"PCAP814_10microM_Dark" 10.92 1.95 7.19 13.77
"Clozapine_10microM_Dark" 11.46 2.47 8.99 16.27
