"mean" "SD" "MIN" "MAX"
"OSU6162_1microM_Dark" 1.35 0.58 0.47 2.6
"Clozapine_1microM_Dark" 1.57 0.76 0.68 2.87
"Haloperidol_3microM_Dark" 1.61 0.49 0.95 2.35
"NDMC_3microM_Dark" 1.66 0.99 0.61 3.69
"CNO_1microM_Dark" 1.74 0.75 0.64 3.11
"PCAP931_1microM_Dark" 1.8 0.66 0.76 2.97
"CNO_10microM_Dark" 1.82 0.76 0.94 3.26
"Haloperidol_1microM_Dark" 1.88 0.47 1.16 2.63
"NDMC_1microM_Dark" 1.91 0.51 1.07 2.76
"PCAP2_1microM_Dark" 2.08 0.69 1.1 3.23
"OSU6162_3microM_Dark" 2.09 0.98 0.5 4.03
"Aripiprazole_1microM_Dark" 2.16 1 1.23 4.53
"Cariprazine_1microM_Dark" 2.39 0.8 1.73 3.9
"PCAP931_3microM_Dark" 2.4 0.67 1.35 3.46
"OSU6162_10microM_Dark" 2.43 0.75 0.72 3.34
"Aripiprazole_10microM_Dark" 2.47 0.8 1.42 3.46
"PCAP1_3microM_Dark" 2.52 0.92 1.4 4.36
"PCAP1_1microM_Dark" 2.54 1.1 0.96 4.24
"NDMC_10microM_Dark" 2.89 1.26 0.4 5.39
"Cariprazine_3microM_Dark" 3.19 1.14 1.37 4.9
"Aripiprazole_3microM_Dark" 3.41 1.57 1.89 6.68
"Cariprazine_10microM_Dark" 3.54 1.47 2.07 6.83
"CNO_3microM_Dark" 3.59 2.62 1.25 11.22
"Clozapine_3microM_Dark" 3.65 1.19 0.58 5.14
"PCAP814_1microM_Dark" 3.65 1.74 0.73 6.98
"PCAP1_10microM_Dark" 3.8 0.91 2.38 5.07
"NDMCHigh_25microM_Dark" 3.82 1.07 1.5 5.59
"NDMCHigh_50microM_Dark" 3.98 1.21 1.86 5.54
"PCAP931_10microM_Dark" 4.04 1.56 1.84 7.63
"NDMCHigh_100microM_Dark" 4.28 1.17 2.52 6.64
"PCAP814_3microM_Dark" 4.44 2.14 0.51 6.79
"Haloperidol_10microM_Dark" 4.6 2 0.7 8.47
"Clozapine_10microM_Dark" 4.72 1.43 0.72 6.72
"PCAP2_3microM_Dark" 4.79 1.89 1.04 7.2
"PCAP2_10microM_Dark" 5.28 2.08 1.55 8.42
"PCAP814_10microM_Dark" 5.42 2.37 0.99 8.73
