"mean" "SD" "MIN" "MAX"
"OSU6162_3microM_Dark" 6.12 1.35 3.94 9.39
"Haloperidol_3microM_Dark" 6.62 1.8 3.58 10.2
"Aripiprazole_1microM_Dark" 6.7 1.09 4.33 8.65
"PCAP2_1microM_Dark" 6.78 1.32 2.74 7.8
"Aripiprazole_3microM_Dark" 6.87 1.25 4.31 8.68
"Haloperidol_1microM_Dark" 6.87 1.72 4.88 10.52
"CNO_10microM_Dark" 6.95 2.82 3.85 13.59
"PCAP931_1microM_Dark" 6.99 1.17 5.3 8.96
"Clozapine_1microM_Dark" 7 1.67 4.16 9.49
"Cariprazine_10microM_Dark" 7.1 1.31 5.34 10.06
"OSU6162_1microM_Dark" 7.13 1.68 5.35 11.31
"Cariprazine_3microM_Dark" 7.23 1.15 4.84 8.95
"CNO_3microM_Dark" 7.43 2.99 4.63 14.38
"NDMC_1microM_Dark" 8 1.36 5.61 10.61
"Aripiprazole_10microM_Dark" 8.02 1.49 5.52 10.63
"CNO_1microM_Dark" 8.4 3.56 4.84 16.93
"PCAP931_3microM_Dark" 8.49 1.31 5.94 10.83
"NDMC_3microM_Dark" 8.5 1.81 5.42 12.34
"Cariprazine_1microM_Dark" 8.73 1.49 5.92 11.04
"OSU6162_10microM_Dark" 9.08 1.3 7.52 12.65
"PCAP931_10microM_Dark" 9.1 1.32 7.16 11.88
"PCAP814_1microM_Dark" 9.2 1.71 6.75 12.24
"Clozapine_3microM_Dark" 9.48 2.01 6.38 14.23
"PCAP1_1microM_Dark" 9.66 3.3 5.38 16.19
"NDMC_10microM_Dark" 9.98 1.63 7.53 12.45
"PCAP1_3microM_Dark" 10.03 2.65 6.18 14.46
"Haloperidol_10microM_Dark" 10.4 2.31 7.72 14.47
"PCAP814_3microM_Dark" 10.41 1.4 7.99 12.09
"PCAP2_10microM_Dark" 10.49 2.1 6.24 13.7
"PCAP2_3microM_Dark" 10.52 1.67 7.98 12.9
"NDMCHigh_100microM_Dark" 10.8 1.62 7.48 14.35
"PCAP1_10microM_Dark" 10.82 2.52 7.17 15.91
"NDMCHigh_50microM_Dark" 11.01 1.33 9.35 13.18
"PCAP814_10microM_Dark" 11.15 2.12 7.17 14.01
"NDMCHigh_25microM_Dark" 11.15 1.33 8.53 13.33
"Clozapine_10microM_Dark" 11.52 2.43 9.02 16.25
