"mean" "SD" "MIN" "MAX"
"OSU6162_1microM_Dark" 1.06 0.42 0.39 1.66
"Clozapine_1microM_Dark" 1.3 0.44 0.68 2.43
"NDMC_3microM_Dark" 1.48 0.67 0.49 2.66
"NDMC_1microM_Dark" 1.51 0.62 0.36 2.75
"Haloperidol_3microM_Dark" 1.53 0.47 0.59 2.43
"PCAP2_1microM_Dark" 1.6 0.5 0.81 2.56
"CNO_10microM_Dark" 1.72 0.67 0.97 2.84
"PCAP931_1microM_Dark" 1.73 0.73 0.79 3.64
"CNO_1microM_Dark" 1.75 0.65 0.64 2.89
"OSU6162_3microM_Dark" 1.87 0.88 0.56 3.77
"Aripiprazole_1microM_Dark" 1.89 1.8 0.56 6.93
"PCAP1_1microM_Dark" 1.94 0.92 0.8 3.65
"PCAP1_3microM_Dark" 1.95 0.53 1.11 2.77
"Haloperidol_1microM_Dark" 1.95 0.33 1.28 2.52
"Cariprazine_1microM_Dark" 2.02 0.83 0.9 3.95
"Aripiprazole_10microM_Dark" 2.09 1.11 0.93 4.52
"OSU6162_10microM_Dark" 2.23 0.97 0.52 4.34
"PCAP931_3microM_Dark" 2.27 1.35 0.81 5.94
"Cariprazine_3microM_Dark" 2.35 0.95 1.19 4.13
"CNO_3microM_Dark" 2.55 0.81 1.27 3.93
"NDMC_10microM_Dark" 2.81 1.85 0.38 7.37
"Clozapine_3microM_Dark" 2.82 0.91 0.35 3.95
"PCAP814_3microM_Dark" 2.98 1.23 0.71 4.63
"PCAP1_10microM_Dark" 3.03 0.85 1.75 4.43
"Cariprazine_10microM_Dark" 3.09 1.25 1.64 4.93
"Aripiprazole_3microM_Dark" 3.17 2.1 1.06 8.26
"NDMCHigh_25microM_Dark" 3.36 0.71 1.79 4.73
"NDMCHigh_50microM_Dark" 3.4 0.73 2.03 4.67
"PCAP931_10microM_Dark" 3.49 1.02 1.6 5.14
"NDMCHigh_100microM_Dark" 3.67 0.67 2.57 4.86
"PCAP2_3microM_Dark" 4.11 1.45 1.35 6.11
"PCAP814_1microM_Dark" 4.18 5.49 0.86 20.7
"Clozapine_10microM_Dark" 4.32 2.1 0.63 10.23
"PCAP814_10microM_Dark" 5.16 3.06 0.85 11.33
"Haloperidol_10microM_Dark" 5.19 2.8 1 12.43
"PCAP2_10microM_Dark" 6.11 3.75 1.22 12.45
