"mean" "SD" "MIN" "MAX"
"Haloperidol_3microM_DarkApoLow" 1.99 0.93 0.94 3.64
"Cariprazine_10microM_DarkApoLow" 2.54 1.09 0.8 5.14
"PCAP931_1microM_DarkApoLow" 3.38 1.58 1.52 6.39
"PCAP814_3microM_DarkApoLow" 3.41 1.09 1.71 4.93
"Aripiprazole_10microM_DarkApoLow" 3.42 1.46 1.1 5.59
"Haloperidol_1microM_DarkApoLow" 3.47 1.08 1.81 5.36
"PCAP931_3microM_DarkApoLow" 3.48 1.16 2.27 5.85
"PCAP2_1microM_DarkApoLow" 4.03 1.56 1.84 6.3
"Aripiprazole_3microM_DarkApoLow" 4.1 1.11 2.36 6.12
"Clozapine_3microM_DarkApoLow" 4.37 1.32 2.35 7.11
"OSU6162_10microM_DarkApoLow" 4.39 1.74 2.09 8.17
"PCAP814_1microM_DarkApoLow" 4.47 1.86 2.24 7.69
"Clozapine_1microM_DarkApoLow" 4.52 2.1 2.58 8.76
"OSU6162_3microM_DarkApoLow" 4.57 2.56 1.99 11.72
"NDMC_3microM_DarkApoLow" 4.7 2.16 2.09 8.69
"NDMC_10microM_DarkApoLow" 4.81 2.11 2.76 8.85
"Cariprazine_3microM_DarkApoLow" 4.97 4.71 1.83 20.09
"PCAP931_10microM_DarkApoLow" 5.04 4.04 1.41 17.52
"Clozapine_10microM_DarkApoLow" 5.27 1.02 2.61 6.82
"PCAP1_3microM_DarkApoLow" 5.6 3.41 2.38 16.4
"Cariprazine_1microM_DarkApoLow" 5.67 1.1 4.26 7.79
"OSU6162_1microM_DarkApoLow" 5.69 2.23 2.92 9.97
"PCAP2_3microM_DarkApoLow" 5.8 1.07 3.91 7.9
"PCAP2_10microM_DarkApoLow" 6.21 1.44 3.53 8.08
"CNO_10microM_DarkApoLow" 6.33 2 2.87 9.63
"Aripiprazole_1microM_DarkApoLow" 6.58 1.09 5.07 8.94
"PCAP1_10microM_DarkApoLow" 6.75 2.32 4.23 13.86
"NDMC_1microM_DarkApoLow" 6.96 1.9 4.08 11.38
"NDMCHigh_100microM_DarkApoLow" 7.12 1.49 4.45 9.98
"NDMCHigh_25microM_DarkApoLow" 7.27 1.52 3.94 9.11
"NDMCHigh_50microM_DarkApoLow" 7.64 1.05 5.36 9.25
"CNO_1microM_DarkApoLow" 7.67 2.14 4.84 12.63
"CNO_3microM_DarkApoLow" 9.19 2.96 5.05 17
"PCAP1_1microM_DarkApoLow" 9.65 16.33 2.89 63.85
"Haloperidol_10microM_DarkApoLow" 10.92 5.61 5.77 22.48
"PCAP814_10microM_DarkApoLow" 11.43 5.04 6.19 26.25
